Código;Ação;Tipo;Qtde. Teórica;Part. (%);
ALOS3;ALLOS;ON  ED  NM;466.135.796;0,569;
ABEV3;AMBEV S/A;ON  EDJ;4.273.841.357;2,496;
ASAI3;ASSAI;ON      NM;1.338.601.375;0,417;
AURE3;AUREN;ON      NM;318.338.365;0,158;
AXIA3;AXIA ENERGIA;ON  EB  N1;1.945.846.761;4,162;
AXIA6;AXIA ENERGIA;PNB EX  N1;270.655.585;0,608;
AZZA3;AZZAS 2154;ON  ED  NM;132.447.688;0,144;
B3SA3;B3;ON  EJ  NM;5.196.371.458;2,986;
BBSE3;BBSEGURIDADE;ON      NM;616.186.808;0,942;
BBDC3;BRADESCO;ON  EJ  N1;1.467.570.789;0,981;
BBDC4;BRADESCO;PN  EJ  N1;5.106.488.516;3,977;
BRAP4;BRADESPAR;PN      N1;250.914.708;0,216;
BBAS3;BRASIL;ON      NM;2.842.496.541;2,636;
BRKM5;BRASKEM;PNA     N1;265.876.767;0,088;
BRAV3;BRAVA;ON      NM;462.883.017;0,330;
BPAC11;BTGP BANCO;UNT EJ  N2;1.404.794.900;3,137;
CXSE3;CAIXA SEGURI;ON  EDR NM;600.000.000;0,416;
CEAB3;CEA MODAS;ON  EJ  NM;204.964.309;0,109;
CMIG4;CEMIG;PN  EDJ N1;1.904.057.894;0,909;
COGN3;COGNA ON;ON  EDB NM;1.914.692.857;0,256;
CSMG3;COPASA;ON  EJ  NM;188.467.895;0,351;
CPLE3;COPEL;ON  EDJ NM;1.709.534.925;0,888;
CSAN3;COSAN;ON      NM;1.802.521.475;0,405;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,432;
CMIN3;CSNMINERACAO;ON  EDJ N2;1.646.519.336;0,368;
CURY3;CURY S/A;ON      NM;160.988.231;0,217;
CYRE3;CYRELA REALT;ON  EB  NM;256.055.995;0,262;
DIRR3;DIRECIONAL;ON      NM;325.640.184;0,190;
ENGI11;ENERGISA;UNT     N2;358.053.350;0,722;
ENEV3;ENEVA;ON      NM;1.912.889.086;1,638;
EGIE3;ENGIE BRASIL;ON  EJ  NM;357.310.487;0,476;
EQTL3;EQUATORIAL;ON  EJ  NM;1.250.951.305;2,050;
FLRY3;FLEURY;ON      NM;447.150.822;0,284;
GGBR4;GERDAU;PN      N1;1.263.524.206;1,109;
GOAU4;GERDAU MET;PN  EB  N1;830.615.826;0,317;
HAPV3;HAPVIDA;ON      NM;287.507.905;0,179;
HYPE3;HYPERA;ON  EJ  NM;296.007.718;0,295;
IGTI11;IGUATEMI S.A;UNT     N1;211.401.696;0,229;
IRBR3;IRBBRASIL RE;ON      NM;81.838.787;0,183;
ISAE4;ISA ENERGIA;PN  EJ  N1;395.801.044;0,456;
ITSA4;ITAUSA;PN  EB  N1;5.970.522.444;2,970;
ITUB4;ITAUUNIBANCO;PN  EJB N1;5.027.870.728;8,421;
KLBN11;KLABIN S/A;UNT     N2;792.355.216;0,647;
RENT3;LOCALIZA;ON  EB  NM;977.042.684;1,816;
LREN3;LOJAS RENNER;ON      NM;981.927.306;0,562;
MGLU3;MAGAZ LUIZA;ON  EB  NM;373.185.407;0,141;
POMO4;MARCOPOLO;PN  EB  N2;727.730.867;0,183;
MBRF3;MARFRIG;ON      NM;767.248.368;0,645;
BEEF3;MINERVA;ON      NM;439.073.587;0,101;
MRVE3;MRV;ON      NM;374.670.758;0,124;
MULT3;MULTIPLAN;ON  EJ  N2;320.022.221;0,370;
PCAR3;P.ACUCAR-CBD;ON      NM;433.412.603;0,073;
PETR3;PETROBRAS;ON  EDJ N2;2.943.171.983;4,067;
PETR4;PETROBRAS;PN  EDJ N2;4.410.960.450;5,796;
RECV3;PETRORECSA;ON      NM;274.630.892;0,129;
PRIO3;PETRORIO;ON      NM;762.017.253;1,361;
PSSA3;PORTO SEGURO;ON  EJ  NM;181.016.454;0,373;
RADL3;RAIADROGASIL;ON  EB  NM;1.311.428.175;1,329;
RAIZ4;RAIZEN;PN      N2;1.198.936.529;0,041;
RDOR3;REDE D OR;ON  EDJ NM;1.091.469.308;1,890;
RAIL3;RUMO S.A.;ON      NM;1.221.155.293;0,771;
SBSP3;SABESP;ON  EJB NM;621.445.261;3,538;
SANB11;SANTANDER BR;UNT EJ;360.347.199;0,518;
CSNA3;SID NACIONAL;ON;727.975.012;0,271;
SLCE3;SLC AGRICOLA;ON  EB  NM;222.404.640;0,141;
SMFT3;SMART FIT;ON      NM;467.471.342;0,460;
SUZB3;SUZANO S.A.;ON  ED  NM;612.918.471;1,360;
TAEE11;TAESA;UNT     N2;218.568.234;0,392;
VIVT3;TELEF BRASIL;ON  EJ;738.065.812;1,034;
TIMS3;TIM;ON  EDJ NM;804.628.136;0,745;
TOTS3;TOTVS;ON      NM;533.980.424;0,936;
UGPA3;ULTRAPAR;ON      NM;1.071.443.332;0,961;
USIM5;USIMINAS;PNA     N1;515.117.999;0,132;
VALE3;VALE;ON      NM;3.688.870.616;11,423;
VAMO3;VAMOS;ON  EJ  NM;390.902.974;0,054;
VBBR3;VIBRA;ON      NM;1.192.531.648;1,314;
VIVA3;VIVARA S.A.;ON  ED  NM;123.177.361;0,170;
WEGE3;WEG;ON  ED  NM;1.485.954.732;3,067;
YDUQ3;YDUQS PART;ON  ED  NM;261.365.845;0,137;